CustomerID,FirstName,LastName,Email,City,State,ZipCode,SignupDate,Age,Gender
C00001,Oliver,Lee,oliver.lee530@email.com,Fort Worth,TX,76101,2023-01-10,40,Male
C00002,Liam,Gonzalez,liam.gonzalez837@email.com,San Diego,CA,92093,2023-06-13,34,Female
C00003,James,Thomas,james.thomas514@email.com,Charlotte,NC,28201,2024-06-27,41,Male
C00004,Isabella,Anderson,isabella.anderson217@email.com,Philadelphia,PA,19019,2022-08-24,24,Female
C00005,Isabella,Garcia,isabella.garcia677@email.com,Philadelphia,PA,19019,2023-01-06,41,Male
C00006,Amelia,Wilson,amelia.wilson692@email.com,Austin,TX,78701,2024-01-08,25,Female
C00007,Lucas,Thomas,lucas.thomas23@email.com,San Antonio,TX,78201,2023-08-28,27,Female
C00008,Amelia,Johnson,amelia.johnson138@email.com,Phoenix,AZ,85001,2023-08-11,40,Male
C00009,Jacob,Taylor,jacob.taylor58@email.com,Los Angeles,CA,90001,2024-07-01,40,Male
C00010,Mia,Rodriguez,mia.rodriguez900@email.com,Philadelphia,PA,19019,2023-06-14,34,Male
C00011,Henry,Walker,henry.walker460@email.com,San Jose,CA,95101,2024-08-27,24,Male
C00012,Ethan,Thomas,ethan.thomas616@email.com,Charlotte,NC,28201,2022-06-24,29,Female
C00013,Isabella,Jackson,isabella.jackson172@email.com,Philadelphia,PA,19019,2023-10-01,43,Female
C00014,Henry,Walker,henry.walker236@email.com,Austin,TX,78701,2024-08-02,36,Male
C00015,Oliver,Gonzalez,oliver.gonzalez536@email.com,Phoenix,AZ,85001,2022-04-22,22,Male
C00016,Mason,Walker,mason.walker182@email.com,Columbus,OH,43004,2024-04-26,26,Male
C00017,Lucas,Martin,lucas.martin96@email.com,Boston,MA,02101,2022-02-09,47,Male
C00018,Lucas,Walker,lucas.walker919@email.com,Phoenix,AZ,85001,2024-07-12,41,Male
C00019,Michael,Lee,michael.lee896@email.com,Columbus,OH,43004,2023-06-19,35,Female
C00020,Olivia,Hall,olivia.hall809@email.com,Indianapolis,IN,46201,2023-03-16,29,Female
C00021,Oliver,Lopez,oliver.lopez436@email.com,Denver,CO,80201,2024-04-03,45,Male
C00022,Isabella,Rodriguez,isabella.rodriguez291@email.com,Charlotte,NC,28201,2024-02-24,29,Male
C00023,Ethan,Moore,ethan.moore727@email.com,Columbus,OH,43004,2022-09-21,28,Male
C00024,Henry,Smith,henry.smith385@email.com,Denver,CO,80201,2023-06-20,25,Male
C00025,Jacob,Miller,jacob.miller159@email.com,Austin,TX,78701,2023-02-23,33,Male
C00026,Benjamin,Lee,benjamin.lee579@email.com,Denver,CO,80201,2022-09-17,30,Female
C00027,James,Martin,james.martin424@email.com,Dallas,TX,75201,2023-11-28,34,Male
C00028,Logan,Moore,logan.moore260@email.com,Charlotte,NC,28201,2022-07-03,33,Female
C00029,Noah,Jackson,noah.jackson754@email.com,Jacksonville,FL,32099,2024-03-03,44,Female
C00030,Isabella,Walker,isabella.walker802@email.com,Houston,TX,77001,2024-02-05,29,Female
C00031,Daniel,Garcia,daniel.garcia805@email.com,Houston,TX,77001,2022-08-08,38,Female
C00032,William,Moore,william.moore165@email.com,Boston,MA,02101,2023-12-15,43,Male
C00033,Oliver,Lee,oliver.lee483@email.com,New York,NY,10001,2024-04-03,24,Male
C00034,Ethan,Wilson,ethan.wilson380@email.com,Chicago,IL,60601,2022-03-07,30,Male
C00035,Ava,Martin,ava.martin629@email.com,Los Angeles,CA,90001,2024-01-12,34,Female
C00036,Jacob,Taylor,jacob.taylor969@email.com,San Jose,CA,95101,2023-12-30,41,Male
C00037,Mia,Lee,mia.lee871@email.com,Charlotte,NC,28201,2023-03-26,22,Male
C00038,Michael,Taylor,michael.taylor630@email.com,San Jose,CA,95101,2022-07-19,23,Male
C00039,Mia,Walker,mia.walker162@email.com,Los Angeles,CA,90001,2023-01-04,29,Male
C00040,Ava,Rodriguez,ava.rodriguez416@email.com,Fort Worth,TX,76101,2022-12-28,43,Female
C00041,Alexander,Miller,alexander.miller942@email.com,Indianapolis,IN,46201,2022-01-16,45,Male
C00042,Ava,Moore,ava.moore356@email.com,San Jose,CA,95101,2024-01-14,48,Female
C00043,Liam,Davis,liam.davis953@email.com,Boston,MA,02101,2024-09-13,28,Female
C00044,Oliver,Jackson,oliver.jackson519@email.com,New York,NY,10001,2022-09-25,27,Female
C00045,Sophia,Moore,sophia.moore970@email.com,Chicago,IL,60601,2023-05-31,31,Female
C00046,Sophia,Taylor,sophia.taylor711@email.com,Dallas,TX,75201,2024-06-16,39,Female
C00047,Elijah,Gonzalez,elijah.gonzalez776@email.com,Denver,CO,80201,2023-05-11,46,Male
C00048,William,Anderson,william.anderson494@email.com,San Francisco,CA,94102,2024-07-07,40,Male
C00049,Sophia,Rodriguez,sophia.rodriguez694@email.com,Chicago,IL,60601,2023-01-27,42,Male
C00050,Daniel,Davis,daniel.davis718@email.com,Austin,TX,78701,2023-02-27,33,Male
C00051,Liam,Davis,liam.davis78@email.com,San Jose,CA,95101,2022-04-06,34,Female
C00052,Logan,Garcia,logan.garcia916@email.com,Charlotte,NC,28201,2022-11-18,33,Male
C00053,Alexander,Rodriguez,alexander.rodriguez511@email.com,Philadelphia,PA,19019,2024-08-27,45,Male
C00054,Henry,Miller,henry.miller212@email.com,San Diego,CA,92093,2024-01-24,29,Female
C00055,Amelia,Miller,amelia.miller160@email.com,San Diego,CA,92093,2024-05-06,41,Female
C00056,Sophia,Brown,sophia.brown629@email.com,Chicago,IL,60601,2023-11-24,43,Female
C00057,Emma,Moore,emma.moore636@email.com,Los Angeles,CA,90001,2024-05-18,37,Female
C00058,William,Thomas,william.thomas188@email.com,Denver,CO,80201,2024-06-08,30,Female
C00059,Mason,Rodriguez,mason.rodriguez56@email.com,Fort Worth,TX,76101,2022-08-16,46,Male
C00060,Mason,Wilson,mason.wilson515@email.com,Charlotte,NC,28201,2024-08-20,39,Male
C00061,James,Gonzalez,james.gonzalez324@email.com,Philadelphia,PA,19019,2023-04-14,25,Female
C00062,Daniel,Smith,daniel.smith595@email.com,New York,NY,10001,2023-11-22,28,Female
C00063,Sophia,Hernandez,sophia.hernandez562@email.com,Jacksonville,FL,32099,2023-09-20,30,Male
C00064,Liam,Davis,liam.davis375@email.com,Dallas,TX,75201,2023-04-28,41,Female
C00065,Mia,Thomas,mia.thomas374@email.com,Columbus,OH,43004,2022-08-04,35,Female
C00066,Oliver,Rodriguez,oliver.rodriguez590@email.com,San Francisco,CA,94102,2022-07-04,40,Male
C00067,Michael,Davis,michael.davis569@email.com,Houston,TX,77001,2024-01-09,30,Male
C00068,Benjamin,Gonzalez,benjamin.gonzalez485@email.com,San Antonio,TX,78201,2022-05-30,47,Male
C00069,Emma,Garcia,emma.garcia805@email.com,Columbus,OH,43004,2023-05-27,26,Female
C00070,Lucas,Martinez,lucas.martinez408@email.com,Dallas,TX,75201,2023-07-30,40,Male
C00071,Sophia,Hall,sophia.hall488@email.com,Philadelphia,PA,19019,2022-03-03,28,Female
C00072,Jacob,Brown,jacob.brown370@email.com,San Francisco,CA,94102,2024-02-02,32,Female
C00073,James,Moore,james.moore353@email.com,Seattle,WA,98101,2024-08-12,47,Female
C00074,Emma,Wilson,emma.wilson591@email.com,Houston,TX,77001,2022-12-26,43,Male
C00075,Alexander,Lee,alexander.lee364@email.com,Miami,FL,33101,2023-07-06,27,Female
C00076,William,Walker,william.walker911@email.com,Indianapolis,IN,46201,2023-05-15,46,Female
C00077,Ava,Gonzalez,ava.gonzalez890@email.com,Boston,MA,02101,2022-10-21,36,Male
C00078,Mia,Lee,mia.lee870@email.com,Austin,TX,78701,2023-03-08,42,Female
C00079,Ava,Williams,ava.williams325@email.com,Philadelphia,PA,19019,2022-12-18,29,Female
C00080,Jacob,Martinez,jacob.martinez278@email.com,Dallas,TX,75201,2023-09-12,42,Female
C00081,Elijah,Lopez,elijah.lopez172@email.com,Denver,CO,80201,2023-06-18,36,Female
C00082,Mia,Smith,mia.smith964@email.com,Phoenix,AZ,85001,2024-01-16,29,Female
C00083,Henry,Hall,henry.hall106@email.com,Chicago,IL,60601,2022-08-04,27,Female
C00084,Sophia,Williams,sophia.williams790@email.com,Charlotte,NC,28201,2023-07-16,23,Male
C00085,Oliver,Taylor,oliver.taylor87@email.com,Chicago,IL,60601,2022-04-17,30,Male
C00086,Jacob,Gonzalez,jacob.gonzalez454@email.com,San Jose,CA,95101,2022-08-23,29,Female
C00087,Jacob,Jones,jacob.jones30@email.com,Phoenix,AZ,85001,2023-06-24,48,Male
C00088,Olivia,Walker,olivia.walker479@email.com,Jacksonville,FL,32099,2024-05-31,32,Female
C00089,Logan,Rodriguez,logan.rodriguez606@email.com,Seattle,WA,98101,2023-04-01,26,Male
C00090,Ethan,Anderson,ethan.anderson537@email.com,Miami,FL,33101,2024-02-06,42,Female
C00091,Jacob,Lee,jacob.lee553@email.com,Seattle,WA,98101,2022-11-14,33,Female
C00092,Amelia,Williams,amelia.williams267@email.com,San Francisco,CA,94102,2022-11-12,33,Female
C00093,Isabella,Martinez,isabella.martinez353@email.com,New York,NY,10001,2022-01-01,38,Male
C00094,Noah,Thomas,noah.thomas970@email.com,Seattle,WA,98101,2022-01-09,44,Female
C00095,Lucas,Martinez,lucas.martinez612@email.com,New York,NY,10001,2024-02-24,35,Female
C00096,Amelia,Smith,amelia.smith904@email.com,Seattle,WA,98101,2023-01-18,28,Female
C00097,Logan,Wilson,logan.wilson849@email.com,Fort Worth,TX,76101,2022-09-13,27,Female
C00098,Oliver,Davis,oliver.davis530@email.com,Dallas,TX,75201,2022-03-23,35,Male
C00099,Ethan,Hall,ethan.hall423@email.com,Dallas,TX,75201,2022-10-19,42,Female
C00100,Charlotte,Williams,charlotte.williams653@email.com,Philadelphia,PA,19019,2022-05-20,31,Male
C00101,Elijah,Martin,elijah.martin193@email.com,San Francisco,CA,94102,2022-10-06,44,Female
C00102,William,Smith,william.smith191@email.com,Phoenix,AZ,85001,2022-02-20,39,Male
C00103,Sophia,Martinez,sophia.martinez745@email.com,Dallas,TX,75201,2022-05-09,44,Female
C00104,Emma,Davis,emma.davis223@email.com,Chicago,IL,60601,2022-06-04,22,Female
C00105,William,Wilson,william.wilson381@email.com,San Jose,CA,95101,2024-03-15,47,Female
C00106,Elijah,Hall,elijah.hall58@email.com,Los Angeles,CA,90001,2022-12-05,24,Male
C00107,Liam,Gonzalez,liam.gonzalez197@email.com,Chicago,IL,60601,2023-07-11,37,Male
C00108,Liam,Gonzalez,liam.gonzalez395@email.com,New York,NY,10001,2022-05-05,46,Male
C00109,Elijah,Davis,elijah.davis534@email.com,Los Angeles,CA,90001,2022-07-23,36,Male
C00110,Michael,Miller,michael.miller959@email.com,Charlotte,NC,28201,2023-02-03,43,Female
C00111,William,Garcia,william.garcia260@email.com,Miami,FL,33101,2024-01-16,23,Male
C00112,Lucas,Lee,lucas.lee885@email.com,San Jose,CA,95101,2022-07-23,33,Male
C00113,Michael,Miller,michael.miller333@email.com,Houston,TX,77001,2022-08-30,42,Female
C00114,Emma,Garcia,emma.garcia809@email.com,Dallas,TX,75201,2023-08-22,25,Female
C00115,Amelia,Smith,amelia.smith705@email.com,Los Angeles,CA,90001,2023-08-19,47,Female
C00116,Ethan,Jones,ethan.jones162@email.com,Jacksonville,FL,32099,2024-02-29,24,Male
C00117,Lucas,Williams,lucas.williams62@email.com,Boston,MA,02101,2022-12-13,46,Male
C00118,James,Lee,james.lee129@email.com,Phoenix,AZ,85001,2023-12-20,39,Male
C00119,Lucas,Davis,lucas.davis825@email.com,Austin,TX,78701,2023-07-26,47,Female
C00120,Elijah,Miller,elijah.miller742@email.com,New York,NY,10001,2023-12-07,34,Female
C00121,Isabella,Rodriguez,isabella.rodriguez573@email.com,Los Angeles,CA,90001,2023-05-12,44,Female
C00122,Noah,Moore,noah.moore557@email.com,Charlotte,NC,28201,2022-07-14,40,Male
C00123,James,Hernandez,james.hernandez71@email.com,San Francisco,CA,94102,2022-10-09,48,Male
C00124,Mason,Jones,mason.jones555@email.com,San Francisco,CA,94102,2022-10-30,48,Female
C00125,James,Anderson,james.anderson752@email.com,New York,NY,10001,2024-03-05,42,Female
C00126,Mia,Smith,mia.smith329@email.com,Boston,MA,02101,2024-05-27,33,Male
C00127,Henry,Williams,henry.williams537@email.com,Seattle,WA,98101,2024-04-18,34,Male
C00128,Michael,Thomas,michael.thomas331@email.com,Seattle,WA,98101,2022-06-07,41,Female
C00129,Benjamin,Lee,benjamin.lee45@email.com,Austin,TX,78701,2022-04-24,25,Male
C00130,Isabella,Garcia,isabella.garcia197@email.com,Los Angeles,CA,90001,2022-07-26,25,Female
C00131,Sophia,Johnson,sophia.johnson674@email.com,Denver,CO,80201,2023-10-20,48,Female
C00132,Lucas,Taylor,lucas.taylor51@email.com,Boston,MA,02101,2023-12-20,40,Female
C00133,James,Davis,james.davis953@email.com,Boston,MA,02101,2024-01-06,24,Male
C00134,Charlotte,Lee,charlotte.lee480@email.com,Charlotte,NC,28201,2024-08-08,48,Male
C00135,Jacob,Johnson,jacob.johnson842@email.com,Jacksonville,FL,32099,2023-07-26,45,Female
C00136,James,Hall,james.hall542@email.com,Los Angeles,CA,90001,2024-04-23,41,Female
C00137,Olivia,Williams,olivia.williams104@email.com,San Jose,CA,95101,2022-03-21,28,Male
