customer_id,customer_name,email,phone,age,gender,city,segment,join_date
10000,Tiffany Gonzalez,howelljohn@example.com,+1-219-637,45,Other,Ahmedabad,New,2023-06-05
10001,Susan Brooks,charlesvaughn@example.net,814.791.90,52,Male,Lucknow,Regular,2025-02-27
10002,Matthew Smith,gshort@example.com,(672)762-8,27,Male,Chennai,Regular,2025-05-03
10003,Sandra Miller,dsanchez@example.net,+1-665-607,23,Other,Chandigarh,Regular,2023-08-06
10004,Kellie Lee,jenniferfreeman@example.org,001-777-97,62,Other,Mumbai,Occasional,2024-04-07
10005,Hailey Barajas,michael74@example.com,631-335-18,35,Female,Bangalore,New,2025-03-19
10006,Elizabeth Ward,alexis82@example.com,6089427109,60,Other,Kolkata,Occasional,2025-05-12
10007,Glen Sheppard,shelley71@example.org,(871)590-2,67,Female,Mumbai,Regular,2022-11-26
10008,Jamie Kerr,michelle64@example.net,+1-309-413,32,Other,Jaipur,Premium,2024-01-22
10009,Jerry Wheeler,antonio44@example.net,413.349.36,28,Other,Chennai,Premium,2023-04-25
10010,Ricky Larson,scott74@example.net,(248)387-7,24,Other,Ahmedabad,Occasional,2024-07-20
10011,Michael Valencia,keyemily@example.com,001-802-97,31,Female,Nagpur,New,2025-06-12
10012,Julie Ortiz,elizabeth25@example.com,001-874-26,38,Other,Lucknow,Premium,2023-03-16
10013,Kimberly Gutierrez,aprildean@example.com,+1-570-434,66,Male,Pune,Regular,2024-11-18
10014,Adam Russell,victoriadurham@example.com,527-948-46,42,Female,Jaipur,New,2023-07-25
10015,Janet Weeks,michellehill@example.com,784-804-49,29,Male,Hyderabad,Occasional,2024-09-05
10016,Frank Lopez,ashleyhall@example.com,7573662702,58,Female,Jaipur,VIP,2025-06-16
10017,Jessica Fox,jsmith@example.com,+1-921-274,67,Male,Bangalore,Occasional,2024-03-05
10018,Cynthia Cohen,wendy16@example.org,001-517-82,21,Female,Jaipur,Regular,2023-06-13
10019,Rebecca Jackson,lynchpatrick@example.net,279.923.74,59,Other,Visakhapatnam,Regular,2023-02-11
10020,Megan Moore,llandry@example.com,+1-664-674,24,Female,Visakhapatnam,Occasional,2024-04-05
10021,Ronald Foster,knightgina@example.net,6974439533,50,Male,Pune,New,2024-04-10
10022,Stephanie Lucas,kristina09@example.com,001-621-44,41,Other,Nagpur,Regular,2024-04-30
10023,Roger Olson,julie51@example.com,623-368-51,51,Female,Jaipur,Occasional,2025-10-27
10024,Michael Chambers,xcarson@example.org,+1-437-209,60,Other,Ahmedabad,Occasional,2024-09-27
10025,Elizabeth Vasquez,youngamanda@example.com,258.769.26,39,Female,Ahmedabad,Occasional,2025-05-31
10026,Jeremy Young,cory58@example.net,(706)543-1,34,Female,Kolkata,Occasional,2023-04-03
10027,Rachel Harris DVM,brendali@example.org,729-504-22,63,Female,Lucknow,Regular,2025-05-10
10028,Alexis Baker,judyfox@example.net,577-258-91,51,Other,Nagpur,Occasional,2023-08-05
10029,Susan Hopkins,stephen00@example.com,(761)877-1,38,Male,Lucknow,Regular,2025-11-02
10030,Kerry Chavez DDS,mcguiredanny@example.net,+1-883-767,65,Other,Indore,New,2022-12-09
10031,Jacqueline Hernandez,fjones@example.org,(215)628-0,19,Other,Lucknow,Regular,2023-08-05
10032,Heather Lane,ericolson@example.org,(285)614-9,51,Male,Lucknow,Regular,2024-09-15
10033,Donald Farmer,michael22@example.net,+1-661-720,56,Other,Chandigarh,Occasional,2024-04-15
10034,Latoya Miller,moorekaren@example.org,+1-814-376,41,Female,Bangalore,Occasional,2024-05-02
10035,Michael Tucker,brandon69@example.org,2349324451,27,Male,Mumbai,Occasional,2024-03-23
10036,Casey James,vincentwhitaker@example.com,860-860-71,68,Other,Delhi,Premium,2024-05-12
10037,Jennifer Wilson,burchgeorge@example.net,651.761.36,49,Female,Kolkata,Regular,2024-10-29
10038,Richard Jones,schmidtjames@example.com,(923)912-4,38,Female,Kochi,Regular,2024-06-10
10039,Olivia Cole,michelle52@example.com,377-644-90,43,Other,Indore,Occasional,2024-11-06
10040,Andrew Wood,chase19@example.net,267.998.07,21,Female,Nagpur,Occasional,2023-06-24
10041,Steven Cooper,wagnergerald@example.org,001-777-28,39,Other,Mumbai,Occasional,2024-11-13
10042,Maria Jones,grantpaul@example.com,001-692-85,57,Other,Hyderabad,Occasional,2025-04-25
10043,Erin Anderson,lucasrodney@example.com,4544235733,32,Other,Ahmedabad,Regular,2024-03-06
10044,Ryan Garcia,stanleynancy@example.net,(296)822-2,45,Female,Bangalore,Regular,2023-10-04
10045,Nathan Montes,karen73@example.net,847.835.97,44,Other,Kolkata,Regular,2023-02-27
10046,Ruth Solis,moniquewilliams@example.com,(881)381-4,57,Other,Indore,New,2025-09-27
10047,Courtney Hayes,sarah60@example.com,653.961.53,45,Other,Chandigarh,Occasional,2023-01-09
10048,Brenda Thornton,fgilbert@example.org,232-589-86,66,Female,Lucknow,Regular,2024-09-03
10049,Riley Bryant,copelandvincent@example.net,7895324609,19,Male,Chennai,Occasional,2022-12-22
10050,Chelsea Barnett,carlos88@example.net,380.767.06,50,Male,Chennai,Occasional,2023-02-16
10051,Harold Morgan,mariacohen@example.net,822.917.04,52,Other,Hyderabad,Occasional,2023-10-12
10052,Paul Lee,michelle05@example.com,956-767-65,56,Female,Kolkata,Regular,2024-04-02
10053,Kelly Owen,mmiller@example.org,+1-845-411,67,Other,Visakhapatnam,New,2023-12-16
10054,Heather Williams,christina64@example.net,9162582029,68,Other,Chennai,Regular,2023-10-07
10055,David Brewer,patrick90@example.net,(775)857-1,29,Other,Chandigarh,Regular,2025-11-16
10056,Donald Horne,fitzgeraldvictor@example.com,+1-514-347,41,Female,Nagpur,Regular,2024-07-04
10057,Benjamin Thompson,zosborn@example.net,451-588-44,45,Male,Chennai,VIP,2025-06-13
10058,Allison Spencer,tanner82@example.net,314-467-86,54,Other,Delhi,Regular,2024-05-06
10059,Maria Cole,david89@example.org,001-626-38,26,Female,Chandigarh,Regular,2024-05-14
10060,Mark Pierce,colleenmendez@example.org,629.592.29,32,Female,Hyderabad,Regular,2025-03-31
10061,Jennifer Fowler,ismall@example.com,+1-947-536,57,Other,Chennai,New,2024-05-19
