customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,segment,name,city,region,segment_original
C000001,49,15,686566.2000000001,4,4,5,13,Champions,Charita Raghavan,Mumbai,West,Gold
C000002,2,13,464485.55,5,4,4,13,Champions,Oeshi Borde,Bhopal,Central,Gold
C000003,138,4,164356.58,2,1,2,5,Lost,Anjali Kuruvilla,Surat,West,Occasional
C000004,241,9,196138.72,1,3,2,6,Lost,Keya Natt,Indore,Central,Occasional
C000005,61,8,208933.91999999998,3,2,2,7,At Risk,Ubika Dua,Ahmedabad,West,Regular
C000006,35,23,547338.81,4,5,4,13,Champions,Manan Swamy,Kochi,South,Platinum
C000007,44,11,390122.11,4,3,4,11,Loyal,Tanveer Karnik,Hyderabad,South,Gold
C000008,110,18,917097.02,3,5,5,13,Champions,Gaurang Thakkar,Lucknow,North,Silver
C000009,21,12,205244.86,5,4,2,11,Loyal,Eiravati Bhagat,Kolkata,East,Regular
C000010,7,3,18154.75,5,1,1,7,At Risk,Chasmum Chatterjee,Bangalore,South,Occasional
C000011,75,2,84341.81999999999,3,1,1,5,Lost,Vritti Rau,Pune,West,New
C000012,147,2,26585.64,2,1,1,4,Lost,Bimala Tata,Visakhapatnam,South,New
C000013,0,2,46669.439999999995,5,1,1,7,At Risk,Gabriel D’Alia,Mumbai,West,Regular
C000014,60,16,775642.73,3,5,5,13,Champions,Tanmayi Char,Pune,West,Regular
C000015,44,11,283821.26,4,3,3,10,Potential,Naveen Sodhi,Kolkata,East,Silver
C000016,108,6,206149.36,3,2,2,7,At Risk,Kamya Taneja,Mumbai,West,Regular
C000017,836,1,6909.08,1,1,1,3,Lost,Wriddhish Baral,Lucknow,North,New
C000018,12,19,453826.63,5,5,4,14,Champions,Dhriti Kadakia,Pune,West,Diamond
C000019,144,5,168457.86,2,1,2,5,Lost,Wahab Ahuja,Jaipur,North,Regular
C000020,18,12,406619.41000000003,5,4,4,13,Champions,Wakeeta Nori,Kochi,South,Regular
C000021,130,5,64200.97,2,1,1,4,Lost,Harinakshi Mitra,Delhi,North,Silver
C000022,28,16,770227.93,4,5,5,14,Champions,Zayyan Chowdhury,Visakhapatnam,South,Silver
C000023,77,9,604109.53,3,3,5,11,Loyal,Udant Baral,Visakhapatnam,South,Occasional
C000024,679,6,429779.2,1,2,4,7,At Risk,Vrinda Chopra,Visakhapatnam,South,Regular
C000025,295,9,226236.79,1,3,2,6,Lost,Lohit Misra,Surat,West,Regular
C000026,11,17,407816.74,5,5,4,14,Champions,Indira Bajaj,Kochi,South,Silver
C000027,35,8,282803.53,4,2,3,9,Potential,Chaitaly Radhakrishnan,Chennai,South,Occasional
C000028,81,7,143489.22999999998,3,2,2,7,At Risk,Bahadurjit Subramanian,Surat,West,Occasional
C000029,161,11,653120.51,2,3,5,10,Potential,Pranit More,Kolkata,East,Regular
C000030,12,14,311362.62,5,4,3,12,Loyal,Hredhaan Sarkar,Mumbai,West,Silver
